Name,Team,Age,Position,Apps,Mins,Assists,KeyP,AvgP,PS,Crosses,LongB,ThrB,Rating
Abdoulaye Touré,"Le Havre, ",30,",  DMC  ",27(3),2294	,-	,0.4	,40.9	,83.8	,-	,1.9	,-	,6.63
Isaak Touré,"Lorient, ",21,",  D(C)  ",23(1),2053	,1	,0.3	,52.9	,89.8	,0.1	,1.7	,-	,6.63
Yehvann Diouf,"Reims, ",24,",  GK  ",34,3060	,-	,-	,32.7	,75.7	,-	,5.6	,-	,6.62
Philipp Köhn,"Monaco, ",26,",  GK  ",22,1980	,-	,-	,26.1	,67.5	,-	,5.5	,-	,6.62
Eray Cömert,"Nantes, ",26,",  D(C)  ",23(2),1999	,-	,0.2	,42.3	,88.5	,0.1	,2.9	,-	,6.62
Formose Mendy,"Lorient, ",23,",  D(C)  ",13(5),1255	,-	,0.1	,37.8	,79.9	,0.2	,3	,-	,6.62
Geoffrey Kondogbia,"Marseille, ",31,",  D(C),DMC  ",15(11),1458	,-	,0.4	,36.3	,88	,-	,2.2	,-	,6.62
Douglas Augusto,"Nantes, ",27,",  DMC  ",22(3),1783	,-	,0.7	,40.6	,87.9	,0.4	,1.6	,-	,6.61
Guela Doué,"Rennes, ",21,",  D(R)  ",13(11),1229	,2	,0.7	,21.7	,78.9	,0.5	,0.9	,-	,6.61
Julien Ponceau,"Lorient, ",23,",  AM(C)  ",27(5),2253	,2	,1.1	,35.2	,87.3	,0.4	,1.1	,-	,6.61
Alban Lafont,"Nantes, ",25,",  GK  ",28,2497	,-	,-	,30.7	,67.7	,-	,5.3	,-	,6.61
Hicham Boudaoui,"Nice, ",24,",  M(CR)  ",17(12),1613	,-	,0.7	,23.8	,86.5	,0.1	,0.6	,0.1	,6.61
Adrien Truffert,"Rennes, ",22,",  D(L),M(L)  ",24(6),2146	,2	,0.6	,34.4	,82.1	,0.4	,1	,-	,6.61
Pablo Rosario,"Nice, ",27,",  D(CR),DMC  ",21(9),2004	,-	,0.6	,37.6	,90	,0.1	,1	,0.1	,6.61
Hugo Magnetti,"Brest, ",26,",  DMC  ",30(3),2355	,-	,0.7	,33.7	,89.1	,0.2	,1.2	,-	,6.61
Mohamed Bayo,"Le Havre, ",26,",  FW  ",16(6),1394	,1	,0.6	,13.7	,66.4	,-	,0.2	,-	,6.61
