Name,Team,Age,Position,Apps,Mins,Assists,KeyP,AvgP,PS,Crosses,LongB,ThrB,Rating
Justin Njinmah,"Werder Bremen, ",23,",  FW  ",10(14),1013	,2	,0.5	,8.4	,69.8	,0.2	,0.2	,-	,6.58
Castello Lukeba,"RBL, ",21,",  D(C)  ",24(8),2186	,-	,0.1	,58.6	,91.7	,0.1	,1.6	,-	,6.57
Felix Agu,"Werder Bremen, ",24,",  D(LR),M(LR)  ",19(5),1623	,-	,0.3	,20.7	,74.6	,0.4	,0.6	,-	,6.57
Benedikt Gimber,"FC Heidenheim, ",27,",  D(C),DMC  ",24,2027	,1	,0.1	,35	,80.9	,-	,2.1	,-	,6.57
Moritz Jenz,"Wolfsburg, ",25,",  D(C)  ",21(1),1747	,1	,0.2	,48.4	,88.3	,-	,1.6	,-	,6.57
Silvan Widmer,"Mainz, ",31,",  D(CR),M(R)  ",13(7),1246	,3	,0.8	,24.7	,76.9	,0.5	,1.3	,-	,6.57
Anthony Jung,"Werder Bremen, ",32,",  D(CL),M(L)  ",30(1),2584	,-	,0.2	,56	,87.8	,0.1	,2.8	,-	,6.56
Silas Katompa Mvumpa,"Stuttgart, ",25,",  M(CLR),FW  ",8(19),890	,2	,0.6	,9.2	,82.7	,0.1	,0.1	,0.1	,6.55
Patrick Osterhage,"Bochum, ",24,",  DMC  ",21(3),1864	,1	,0.5	,33.5	,80.4	,0.2	,1.1	,-	,6.55
Dominik Kohr,"Mainz, ",30,",  D(C),DMC  ",27(4),2190	,-	,0.5	,36.4	,76.8	,0.2	,2.3	,-	,6.55
Lennard Maloney,"FC Heidenheim, ",24,",  D(C),DMC  ",27(2),2294	,1	,0.3	,32.2	,74.5	,-	,2.2	,-	,6.55
Josip Juranovic,"Union Berlin, ",28,",  D(LR),M(R)  ",14(7),1291	,2	,1.9	,23.1	,77.1	,1.8	,1.8	,-	,6.55
