Player_URL,Name,Team_URL,Team,Age,Position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating
https://www.whoscored.com/Players/443815/Show/Soungoutou-Magassa,Soungoutou Magassa,https://www.whoscored.com/Teams/248/Show/France-Monaco,"Monaco, ",20,",  D(C)  ",15(6),1344	,-	,-	,7	,-	,0.4	,87.4	,1.1	,-	,6.56
https://www.whoscored.com/Players/384065/Show/Folarin-Balogun,Folarin Balogun,https://www.whoscored.com/Teams/248/Show/France-Monaco,"Monaco, ",23,",  FW  ",19(10),1697	,7	,5	,1	,-	,2.3	,74.9	,0.3	,-	,6.56
https://www.whoscored.com/Players/344040/Show/Ablie-Jallow,Ablie Jallow,https://www.whoscored.com/Teams/314/Show/France-Metz,"Metz, ",25,",  AM(CR)  ",10(7),923	,3	,2	,1	,-	,1.1	,82.5	,0.4	,-	,6.55
https://www.whoscored.com/Players/414249/Show/Matthis-Abline,Matthis Abline,https://www.whoscored.com/Teams/302/Show/France-Nantes,"Nantes, ",21,",  AM(L),FW  ",12(10),1044	,5	,-	,1	,-	,1.9	,71.6	,0.7	,2	,6.55
https://www.whoscored.com/Players/422188/Show/Jim-Allevinah,Jim Allevinah,https://www.whoscored.com/Teams/941/Show/France-Clermont-Foot,"Clermont Foot, ",29,",  M(CLR)  ",22(7),1880	,2	,1	,1	,-	,1.3	,83.8	,0.6	,-	,6.55
https://www.whoscored.com/Players/303158/Show/Yusuf-Yazici,Yusuf Yazici,https://www.whoscored.com/Teams/607/Show/France-Lille,"Lille, ",27,",  M(CLR),FW  ",16(11),1318	,5	,2	,5	,-	,1.5	,79.2	,0.2	,2	,6.54
https://www.whoscored.com/Players/373033/Show/Fali-Cand%C3%A9,Fali Candé,https://www.whoscored.com/Teams/314/Show/France-Metz,"Metz, ",26,",  D(CL),M(L)  ",20(5),1846	,-	,1	,4	,-	,0.5	,80.2	,1.2	,-	,6.54
https://www.whoscored.com/Players/415415/Show/Andy-Diouf,Andy Diouf,https://www.whoscored.com/Teams/309/Show/France-Lens,"Lens, ",21,",  M(C)  ",16(9),1321	,1	,-	,2	,-	,1.1	,84.3	,0.4	,1	,6.54
https://www.whoscored.com/Players/280988/Show/Falaye-Sacko,Falaye Sacko,https://www.whoscored.com/Teams/311/Show/France-Montpellier,"Montpellier, ",29,",  D(CLR),M(R)  ",15(4),1380	,-	,1	,-	,-	,0.1	,79.3	,0.8	,1	,6.54
https://www.whoscored.com/Players/407661/Show/Elye-Wahi,Elye Wahi,https://www.whoscored.com/Teams/309/Show/France-Lens,"Lens, ",21,",  AM(L),FW  ",20(7),1704	,9	,3	,8	,1	,2.2	,75.4	,0.4	,-	,6.54
https://www.whoscored.com/Players/91926/Show/Maxime-Colin,Maxime Colin,https://www.whoscored.com/Teams/314/Show/France-Metz,"Metz, ",32,",  D(CLR),M(R)  ",22,1836	,-	,-	,3	,-	,0.3	,71	,1	,-	,6.53
