Name,Team,Age,Position,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
Mattias Svanberg,"Wolfsburg, ",25,",  M(CLR)  ",20(5),1727	,1.5	,0.8	,1.7	,-	,1	,1	,0.2	,-	,6.63
Fabian Nürnberger,"Darmstadt, ",24,",  D(L),M(CL)  ",17(4),1519	,1.4	,0.8	,0.9	,0.1	,1	,0.9	,-	,-	,6.63
Diogo Leite,"Union Berlin, ",25,",  D(C)  ",31(1),2708	,1.6	,1.5	,1.3	,0.3	,4.5	,0.8	,0.7	,-	,6.63
Pascal Stenzel,"Stuttgart, ",28,",  D(CR),M(R)  ",14(9),1092	,0.8	,0.7	,0.7	,0.1	,1	,0.9	,0.3	,-	,6.62
Dayot Upamecano,"Bayern, ",25,",  D(C)  ",19(6),1765	,1.4	,0.8	,0.9	,0.2	,2.1	,0.6	,0.3	,-	,6.62
Anthony Losilla,"Bochum, ",38,",  D(C),DMC  ",31,2588	,2	,0.8	,1.2	,-	,1.6	,0.9	,0.3	,-	,6.62
Nathan Tella,"Leverkusen, ",25,",  M(CLR),FW  ",8(16),811	,0.5	,0.1	,0.5	,0.1	,0.3	,0.2	,-	,-	,6.62
Yussuf Poulsen,"RBL, ",30,",  AM(CR),FW  ",12(16),1213	,0.5	,0.1	,0.8	,-	,0.5	,0.4	,0.1	,-	,6.62
Noah Atubolu,"Freiburg, ",22,",  GK  ",34,3060	,-	,-	,-	,-	,0.6	,-	,-	,-	,6.62
Maximilian Eggestein,"Freiburg, ",27,",  M(CR)  ",33,2919	,1.5	,0.8	,1	,-	,1.1	,0.6	,0.5	,-	,6.61
Niklas Süle,"Borussia Dortmund, ",28,",  D(CR)  ",14(9),1510	,0.8	,1.1	,0.4	,0.6	,2.5	,0.2	,0.6	,-	,6.61
Luca Netz,"Borussia M.Gladbach, ",21,",  D(L),M(L)  ",25(5),2233	,1.3	,0.7	,0.9	,0.1	,2.1	,0.7	,0.3	,-	,6.61
Marvin Mehlem,"Darmstadt, ",26,",  M(CL)  ",19(1),1490	,1.4	,1.7	,1	,-	,0.6	,0.8	,0.1	,-	,6.61
Lukas Kübler,"Freiburg, ",31,",  D(CLR),M(R)  ",22(4),1853	,1.9	,1.4	,0.7	,0.1	,2.1	,0.6	,0.6	,-	,6.61
Florian Neuhaus,"Borussia M.Gladbach, ",27,",  M(C)  ",15(10),1226	,0.6	,0.6	,0.4	,-	,0.3	,0.7	,0.2	,-	,6.61
Manuel Riemann,"Bochum, ",35,",  GK  ",33,2970	,0.1	,-	,0.1	,-	,1.2	,0.1	,-	,-	,6.61
Robin Zentner,"Mainz, ",29,",  GK  ",30,2700	,0.1	,-	,-	,-	,1.2	,0.1	,-	,-	,6.60
Luca Pfeiffer,"Darmstadt, ",27,",  AM(C),FW  ",20(4),1628	,0.5	,0.1	,1.2	,-	,0.9	,0.3	,-	,-	,6.60
Roland Sallai,"Freiburg, ",27,",  M(CLR),FW  ",22(5),1852	,0.6	,0.2	,1.5	,-	,0.8	,0.4	,-	,-	,6.60
Finn Dahmen,"Augsburg, ",26,",  GK  ",31,2790	,-	,-	,0.1	,-	,1	,0.1	,-	,1	,6.59
Maximilian Wittek,"Bochum, ",28,",  D(L),M(LR)  ",13(8),1070	,1.1	,0.9	,1	,-	,1	,0.4	,-	,-	,6.59
Mario Götze,"Eintracht Frankfurt, ",32,",  M(CLR),FW  ",23(7),2077	,1.7	,0.5	,0.5	,-	,0.3	,1.1	,0.1	,-	,6.59
Senne Lynen,"Werder Bremen, ",25,",  DMC  ",20(12),1795	,2	,1.3	,1.1	,-	,1.7	,1.3	,0.3	,-	,6.59
Felix Nmecha,"Borussia Dortmund, ",23,",  M(C)  ",10(10),1016	,1	,0.6	,0.5	,-	,1	,0.6	,0.3	,-	,6.59
András Schäfer,"Union Berlin, ",25,",  M(C)  ",14(6),1219	,1.5	,1	,1.1	,0.1	,1.1	,0.5	,0.2	,-	,6.58
Grischa Prömel,"Hoffenheim, ",29,",  M(C)  ",27(1),2149	,1.1	,0.8	,1.2	,-	,1.3	,0.6	,0.2	,-	,6.58
